fold_month,fold_start,fold_end,horizon,n_test,rmse_xgb,rmse_persistence,skill
2020-04,2020-04-01,2020-04-30,1,26,4.223374052728075,2.7386127875258306,-0.5421581583074531
2020-04,2020-04-01,2020-04-30,2,26,5.489542910620353,3.98555082574735,-0.3773611605093461
2020-04,2020-04-01,2020-04-30,3,26,4.245581607189009,4.603510366264824,0.07775126601186078
2020-04,2020-04-01,2020-04-30,4,26,4.442076391852403,4.56996886035511,0.027985413557669037
2020-04,2020-04-01,2020-04-30,5,26,4.4613580550146805,4.540416788730371,0.01741221949313554
2020-04,2020-04-01,2020-04-30,6,26,4.308792299883966,4.260733053577301,-0.011279572247858694
2020-04,2020-04-01,2020-04-30,7,26,4.587575596611859,4.380902611598173,-0.047175891211672205
2020-05,2020-05-01,2020-05-31,1,25,5.4399823966828045,4.52990066116245,-0.2009054510451036
2020-05,2020-05-01,2020-05-31,2,25,5.21009811249869,6.222539674441618,0.16270552136476013
2020-05,2020-05-01,2020-05-31,3,25,5.483336545380721,7.293833011524188,0.24822291150385534
2020-05,2020-05-01,2020-05-31,4,25,6.269251227777437,7.769169839822013,0.19306034530954963
2020-05,2020-05-01,2020-05-31,5,25,6.168433045877177,7.743384273042376,0.20339313814609394
2020-05,2020-05-01,2020-05-31,6,25,6.338055750558591,8.012490249604053,0.20897803889723376
2020-05,2020-05-01,2020-05-31,7,25,5.6421578636434315,8.024961059095553,0.2969239573756478
2020-06,2020-06-01,2020-06-30,1,28,6.486660630794642,5.637882074477462,-0.1505491858653052
2020-06,2020-06-01,2020-06-30,2,28,6.598399590672211,7.392080704568717,0.10736910832236546
2020-06,2020-06-01,2020-06-30,3,28,6.5473185156158955,7.535629654230248,0.13115176620437385
2020-06,2020-06-01,2020-06-30,4,28,6.767901411110102,8.263517065131184,0.1809902057723093
2020-06,2020-06-01,2020-06-30,5,28,6.4458810449548976,8.85599070847364,0.27214455647663305
2020-06,2020-06-01,2020-06-30,6,28,6.283313759794458,9.533774548564548,0.34094164616673206
2020-06,2020-06-01,2020-06-30,7,28,6.8923762756401805,9.112393444409339,0.2436261320708435
2020-07,2020-07-01,2020-07-31,1,25,5.444203796252004,5.106858133921482,-0.06605737881962259
2020-07,2020-07-01,2020-07-31,2,25,7.327593327912664,6.459102104782057,-0.1344600548252073
2020-07,2020-07-01,2020-07-31,3,25,7.595976130917462,8.192679659305616,0.07283374343953408
2020-07,2020-07-01,2020-07-31,4,25,17.049200006884544,8.809086218218097,-0.9354107321171456
2020-07,2020-07-01,2020-07-31,5,25,8.031554540091179,9.19565114605812,0.126592080047094
2020-07,2020-07-01,2020-07-31,6,25,8.439006972341936,9.039911503991618,0.0664723909503262
2020-07,2020-07-01,2020-07-31,7,25,9.890658506858301,9.42761899951414,-0.0491152121620555
2020-08,2020-08-01,2020-08-31,1,25,6.044568781681956,4.059556626036888,-0.48897264861727585
2020-08,2020-08-01,2020-08-31,2,25,6.168558152386473,5.976621118993574,-0.032114639621863894
2020-08,2020-08-01,2020-08-31,3,25,15.884622804637257,7.299315036357863,-1.176179919008291
2020-08,2020-08-01,2020-08-31,4,25,10.459905879847017,7.9498427657407165,-0.31573745394352204
2020-08,2020-08-01,2020-08-31,5,25,11.552220699004772,7.782030583337488,-0.484473824060758
