fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2020-06,2020-06-01,2020-06-30,3,26,6.3777715919999025,7.94935894851325,0.19769988582630027
2020-06,2020-06-01,2020-06-30,4,26,6.390211326117576,7.922703501282297,0.19343045904932388
2020-06,2020-06-01,2020-06-30,5,26,6.559622150473403,8.651367166301165,0.24178201845085656
2020-06,2020-06-01,2020-06-30,6,26,6.492261119764151,9.629681678579475,0.32580729701525724
2020-06,2020-06-01,2020-06-30,7,26,6.38129421724048,8.91843380524078,0.28448263937434715
2020-07,2020-07-01,2020-07-31,1,22,4.5257528097183215,5.252704930881715,0.13839576574908963
2020-07,2020-07-01,2020-07-31,2,20,4.989215089297488,6.1278054799414114,0.18580720200256906
2020-07,2020-07-01,2020-07-31,3,19,5.189898151786226,7.674290640971663,0.32372926768263255
2020-07,2020-07-01,2020-07-31,4,19,5.217585370760509,8.101331924280625,0.35595956078249247
2020-07,2020-07-01,2020-07-31,5,20,6.05888558451256,8.734987120768983,0.3063658250730005
2020-07,2020-07-01,2020-07-31,6,21,5.68994273849189,8.64649667564296,0.3419366302978678
2020-07,2020-07-01,2020-07-31,7,21,6.08523827679668,8.994707438530833,0.3234645686496477
2020-08,2020-08-01,2020-08-31,1,21,3.3674720393556807,3.5923198500080566,0.06259125580142078
2020-08,2020-08-01,2020-08-31,2,19,3.9473582327163133,5.628872935705317,0.29873026486754484
2020-08,2020-08-01,2020-08-31,3,19,4.273191693294258,7.20380016672487,0.40681423770850955
2020-08,2020-08-01,2020-08-31,4,18,4.347867480442642,7.954733042521149,0.4534238349418396
2020-08,2020-08-01,2020-08-31,5,18,4.367478978564233,8.23609940040389,0.4697151204428086
2020-08,2020-08-01,2020-08-31,6,17,4.498167874648112,8.626225403146057,0.478547375656612
2020-08,2020-08-01,2020-08-31,7,18,4.656576258079621,8.566731517264264,0.4564349018414585
2020-09,2020-09-01,2020-09-30,1,25,5.611489616861859,5.758472019555187,0.025524549254418605
2020-09,2020-09-01,2020-09-30,2,25,6.549522830141236,7.701947805587882,0.14962773113192795
2020-09,2020-09-01,2020-09-30,3,25,7.440553443480694,9.132360045464699,0.18525404096657216
2020-09,2020-09-01,2020-09-30,4,25,7.47295029936037,9.16515138991168,0.18463427591757609
2020-09,2020-09-01,2020-09-30,5,25,8.088338198255999,9.606247966818263,0.15801276146580867
2020-09,2020-09-01,2020-09-30,6,25,8.119373006477256,7.792303895511263,-0.041973351572491824
2020-09,2020-09-01,2020-09-30,7,25,8.123119853946077,5.751521537819362,-0.41234276887118915
2020-10,2020-10-01,2020-10-31,1,29,9.579842817002103,10.998432490195105,0.1289810774815091
2020-10,2020-10-01,2020-10-31,2,29,10.940093740045864,14.400670482475029,0.24030664034987337
2020-10,2020-10-01,2020-10-31,3,28,10.709274738784233,14.957081457098699,0.2839997047885594
2020-10,2020-10-01,2020-10-31,4,28,10.368584636820062,14.267845968170128,0.2732901196192372
2020-10,2020-10-01,2020-10-31,5,28,10.234795213535723,13.665650368716449,0.25105685149348445
2020-10,2020-10-01,2020-10-31,6,28,15.334417775025399,18.35658698435757,0.16463677108971786
2020-10,2020-10-01,2020-10-31,7,28,14.469999235765332,16.58635411587317,0.127596147129313
