date,pm10,temp,hr,ws,wd,pm10_lag1,pm10_lag2,pm10_lag3,pm10_lag4,pm10_lag5,pm10_lag6,pm10_lag7,pm10_next
2017-01-22,7.0,11.7,61.0,5.5,318.0,0.013636363636363636,0.05454545454545454,0.02727272727272727,0.05454545454545454,0.031818181818181815,0.022727272727272728,0.01818181818181818,10.0
2017-01-23,10.0,11.9,60.0,1.6,319.0,0.031818181818181815,0.013636363636363636,0.05454545454545454,0.02727272727272727,0.05454545454545454,0.031818181818181815,0.022727272727272728,12.0
2017-01-24,12.0,11.6,51.0,1.7,315.0,0.045454545454545456,0.031818181818181815,0.013636363636363636,0.05454545454545454,0.02727272727272727,0.05454545454545454,0.031818181818181815,21.0
2017-01-25,21.0,12.3,53.0,0.9,271.0,0.05454545454545454,0.045454545454545456,0.031818181818181815,0.013636363636363636,0.05454545454545454,0.02727272727272727,0.05454545454545454,24.0
2017-01-26,24.0,11.2,68.0,0.9,355.0,0.09545454545454544,0.05454545454545454,0.045454545454545456,0.031818181818181815,0.013636363636363636,0.05454545454545454,0.02727272727272727,13.0
2017-01-27,13.0,12.7,76.0,1.1,298.0,0.10909090909090909,0.09545454545454544,0.05454545454545454,0.045454545454545456,0.031818181818181815,0.013636363636363636,0.05454545454545454,4.0
2017-01-28,4.0,13.3,50.0,3.5,297.0,0.05909090909090909,0.10909090909090909,0.09545454545454544,0.05454545454545454,0.045454545454545456,0.031818181818181815,0.013636363636363636,37.0
2017-01-29,37.0,12.5,65.0,0.6,267.0,0.01818181818181818,0.05909090909090909,0.10909090909090909,0.09545454545454544,0.05454545454545454,0.045454545454545456,0.031818181818181815,28.0
2017-01-30,28.0,14.3,71.0,0.6,251.0,0.16818181818181818,0.01818181818181818,0.05909090909090909,0.10909090909090909,0.09545454545454544,0.05454545454545454,0.045454545454545456,29.0
2017-01-31,29.0,13.1,75.0,0.3,300.0,0.12727272727272726,0.16818181818181818,0.01818181818181818,0.05909090909090909,0.10909090909090909,0.09545454545454544,0.05454545454545454,34.0
2017-02-01,34.0,13.2,71.0,0.5,306.0,0.1318181818181818,0.12727272727272726,0.16818181818181818,0.01818181818181818,0.05909090909090909,0.10909090909090909,0.09545454545454544,38.0
2017-02-02,38.0,12.5,82.0,0.3,286.0,0.15454545454545454,0.1318181818181818,0.12727272727272726,0.16818181818181818,0.01818181818181818,0.05909090909090909,0.10909090909090909,28.0
2017-02-03,28.0,14.7,67.0,0.5,265.0,0.17272727272727273,0.15454545454545454,0.1318181818181818,0.12727272727272726,0.16818181818181818,0.01818181818181818,0.05909090909090909,23.0
2017-02-04,23.0,15.7,62.0,0.6,238.0,0.12727272727272726,0.17272727272727273,0.15454545454545454,0.1318181818181818,0.12727272727272726,0.16818181818181818,0.01818181818181818,11.0
